artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Lil Xan,Betrayed,0,https://www.last.fm/music/Lil+Xan/_/Betrayed,https://www.youtube.com/watch?v=EbfK7dei7ec,Tense,
Twenty One Pilots,Ode to Sleep,314,https://www.last.fm/music/Twenty+One+Pilots/_/Ode+to+Sleep,https://www.youtube.com/watch?v=2OnO3UXFZdE,Tense,
Hans Zimmer,Mountains,219,https://www.last.fm/music/Hans+Zimmer/_/Mountains,https://www.youtube.com/watch?v=o_Ay_iDRAbc,Tense,
Pink Floyd,On The Run - 2011 Remastered Version,0,https://www.last.fm/music/Pink+Floyd/_/On+The+Run+-+2011+Remastered+Version,https://www.youtube.com/watch?v=2sUyk5zSbhM,Tense,
Grizzly Bear,Colorado,374,https://www.last.fm/music/Grizzly+Bear/_/Colorado,https://www.youtube.com/watch?v=Fjv564OSeAQ,Tense,
Nick Cave & The Bad Seeds,Deanna,226,https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds/_/Deanna,https://www.youtube.com/watch?v=FxORulyOXs8,Tense,
Talking Heads,Drugs,320,https://www.last.fm/music/Talking+Heads/_/Drugs,https://www.youtube.com/watch?v=vlc0_GUdfIQ,Tense,
Joe Hisaishi,A Walk in the Skies,134,https://www.last.fm/music/Joe+Hisaishi/_/A+Walk+in+the+Skies,https://www.youtube.com/watch?v=D0LFyo-k_t4,Tense,
Cocteau Twins,My Love Paramour,220,https://www.last.fm/music/Cocteau+Twins/_/My+Love+Paramour,https://www.youtube.com/watch?v=dOaZAn8y3IE,Tense,
Clipse,Keys Open Doors,199,https://www.last.fm/music/Clipse/_/Keys+Open+Doors,https://www.youtube.com/watch?v=HU-MGQksnZ4,Tense,
Blonde Redhead,Melody of Certain Three,233,https://www.last.fm/music/Blonde+Redhead/_/Melody+of+Certain+Three,https://www.youtube.com/watch?v=7lUG9QXg5vo,Tense,
Fugazi,Ex-Spectator,258,https://www.last.fm/music/Fugazi/_/Ex-Spectator,https://www.youtube.com/watch?v=uxhu_mkNPJ0,Tense,
Hans Zimmer,Ripples in the Sand,0,https://www.last.fm/music/Hans+Zimmer/_/Ripples+in+the+Sand,https://www.youtube.com/watch?v=AgzE2TeXCl0,Tense,
Slint,Carol,220,https://www.last.fm/music/Slint/_/Carol,https://www.youtube.com/watch?v=MLKEgX2Wf20,Tense,
Ludwig Göransson,Destroyer of Worlds,0,https://www.last.fm/music/Ludwig+G%C3%B6ransson/_/Destroyer+of+Worlds,https://www.youtube.com/watch?v=Pswx6OQp1Ks,Tense,
Cocteau Twins,The Hollow Men,303,https://www.last.fm/music/Cocteau+Twins/_/The+Hollow+Men,https://www.youtube.com/watch?v=l7v6b5x7hYU,Tense,
New Order,Murder,235,https://www.last.fm/music/New+Order/_/Murder,https://www.youtube.com/watch?v=G5OMiDahZa0,Tense,
Silverchair,Young Modern Station,191,https://www.last.fm/music/Silverchair/_/Young+Modern+Station,https://www.youtube.com/watch?v=2DOxa9AXz3E,Tense,
Mercury Rev,Delta Sun Bottleneck Stomp,379,https://www.last.fm/music/Mercury+Rev/_/Delta+Sun+Bottleneck+Stomp,https://www.youtube.com/watch?v=zmkRmHLgDOA,Tense,
Deathspell Omega,Wings of Predation,220,https://www.last.fm/music/Deathspell+Omega/_/Wings+of+Predation,https://www.youtube.com/watch?v=XtrG9CAQaX0,Tense,
Xiu Xiu,Save Me Save Me,159,https://www.last.fm/music/Xiu+Xiu/_/Save+Me+Save+Me,https://www.youtube.com/watch?v=pn9NJCrZsjg,Tense,
